MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,C4,M1,1275.0,112.0,2610.0,1540.0,1530.0,PETROL,M,1199.0,81.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,DS 4,M1,1385.0,130.0,2610.0,1530.0,1530.0,PETROL,M,1598.0,121.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,DS 4,M1,1385.0,128.0,2610.0,1530.0,1530.0,PETROL,M,1598.0,121.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,DS 4,M1,1365.0,100.0,2610.0,1530.0,1530.0,DIESEL,M,1560.0,88.0
NL,OPEL,ADAM OPEL GMBH,ADAM OPEL GMBH,P7 MONOCAB C,CROSSLAND X,M1,1234.0,111.0,2600.0,1510.0,1490.0,PETROL,M,1199.0,81.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 250 D 4MATIC,M1,1660.0,127.0,2840.0,1580.0,1530.0,DIESEL,M,2143.0,150.0
NL,DAIMLER AG,DAIMLER AG,DAIMLER AG,204,C 180 D,M1,1505.0,111.0,2840.0,1590.0,1530.0,DIESEL,M,1598.0,85.0
FR,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,S,C3,M1,1165.0,110.0,2539.0,1483.0,1483.0,Petrol,M,1199.0,81.0
FR,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,V,JUMPY SPACE TOURER,M1,1601.0,144.0,2925.0,1630.0,1630.0,Diesel,M,1560.0,70.0
FR,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,V,JUMPY SPACE TOURER,M1,1628.0,148.0,3275.0,1630.0,1630.0,Diesel,M,1560.0,70.0
FR,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,V,JUMPY SPACE TOURER,M1,1620.0,148.0,3275.0,1630.0,1630.0,Diesel,M,1560.0,70.0
FR,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,V,JUMPY SPACE TOURER,M1,1587.0,144.0,2925.0,1630.0,1630.0,Diesel,M,1560.0,70.0
