MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
FR,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,M,5008,M1,1565.0,125.0,2840.0,1601.0,1601.0,Diesel,M,1997.0,110.0
FR,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,M,5008,M1,1565.0,118.0,2840.0,1601.0,1601.0,Diesel,M,1997.0,110.0
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,J15TM,LAND CRUISER 150,M1G,2205.0,197.0,2790.0,1585.0,1585.0,DIESEL,M,2755.0,
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,J15TM,LAND CRUISER 150,M1G,2215.0,197.0,2790.0,1585.0,1585.0,DIESEL,M,2755.0,
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,HE15U(A),AURIS,M1,1410.0,83.0,2600.0,1525.0,1515.0,PETROL,M,1798.0,
RO,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV SA,T27,AVENSIS,M1,1565.0,120.0,2700.0,1550.0,1550.0,DIESEL,M,1995.0,105.0
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,N.V. TOYOTA MOTOR EUROPE,HE15U(A),AURIS,M1,1410.0,92.0,2600.0,1515.0,1505.0,PETROL,M,1798.0,
RO,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV SA,T27,AVENSIS,M1,1565.0,124.0,2700.0,1550.0,1550.0,DIESEL,M,1995.0,105.0
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,AB1,AYGO,M1,930.0,95.0,2340.0,1430.0,1430.0,PETROL,M,998.0,
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,AB1,AYGO,M1,915.0,95.0,2340.0,1430.0,1420.0,PETROL,M,998.0,
RO,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV SA,E15UT(A),TOYOTA AURIS,M1,1275.0,105.0,2600.0,1535.0,1535.0,DIESEL,M,1364.0,66.0
EE,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV/SA,AB1,AYGO,M1,935.0,97.0,2340.0,1415.0,1405.0,PETROL,M,998.0,
RO,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA MOTOR EUROPE NV SA,E15UT(A),AURIS,M1,1225.0,128.0,2600.0,1535.0,1535.0,PETROL,M,1329.0,73.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1308.0,139.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1309.0,139.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1289.0,139.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1310.0,139.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1311.0,139.0,2810.0,1492.0,1478.0,PETROL,M,1598.0,75.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1372.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1345.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1346.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1347.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1365.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1366.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1367.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1370.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1368.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1369.0,128.0,2810.0,1492.0,1478.0,PETROL,M,1197.0,85.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1394.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1395.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1280.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1363.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1376.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1383.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
AT,DACIA,AUTOMOBILE DACIA SA,AUTOMOBILE DACIA SA,SD,LODGY,M1,1414.0,105.0,2810.0,1492.0,1478.0,DIESEL,M,1461.0,80.0
